_id,id,device_id,record_oid,count_start_date,count_end_date,average_daily_car_traffic,average_daily_bike_traffic,counter_number,counter_type,speed_limit,max_speed,median_speed,percent_over_limit,speed85_percent,speed95_percent,longitude,latitude,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone
116,227082796,209,1717953508,2019/11/14,2019/12/2,995,,1,,25,,20,9,24,27,-79.91624686,40.47001795,Highland Park,7,11,42003110600,2,11,5,9-3月
117,235210908,139,1849077535,2019/6/6,,,,,Intersection Study,,,,,,,-79.95373577,40.44320393,North Oakland,3,4,42003982200,3,4,4,7-2月
118,249390037,166,,,,,,,,,,,,,,-79.946262,40.46212801,Bloomfield,7,8,42003080900,2,8,5,6-3月
119,26685456,42,1014355185,,,,,,,,,,,,,-79.98255105,40.45456098,Strip District,7,2,42003020300,6,2,2,25-2月
120,275496503,180,1511161277,2019/8/30,2019/9/9,317,,16,StatTrak,25,45,21,22,27,32,-79.92604991,40.46882391,East Liberty,9,11,42003111300,2,11,5,8-3月
121,283927123,160,,,,,,,,,,,,,,-79.9599285,40.439268,Central Oakland,3,4,42003040500,3,4,4,14-2月
122,286504681,119,378111062,2019/7/9,2019/7/18,,,4,StatTrak,25,,,,,,-79.916863,40.44124594,Squirrel Hill North,8,14,42003140300,3,14,4,18-2月
123,300989656,147,1324522674,2019/10/21,2019/10/29,2436,,3,StatTrak,25,,30,85,34,37,-79.97742,40.40932501,St. Clair,3,16,42003561700,3,16,3,8-4月
124,301291530,181,98475052,2019/9/9,2019/9/17,6943,,11,StatTrak,35,,33,26,37,40,-80.01776679,40.47042636,Perry South,6,26,42003261500,1,26,1,12-1月
125,314332417,67,1277351795,2019/2/5,2019/2/14,1363,,,StatTrak,25,,17,9,23,28,-79.97778916,40.4365681,Bluff,6,1,42003010300,3,1,2,1-2月
126,325834347,40,1847569204,2018/8/10,2018/8/17,338,,,StatTrak,25,45,23,,28,30,-80.03719351,40.43872645,Elliott,2,20,42003562600,5,20,6,17-1月
127,335439540,135,2108033802,2019/7/18,2019/7/26,4354,,3,StatTrak,25,,25,41,29,33,-79.9235397,40.45919972,Shadyside,8,7,42003070800,2,7,4,11-3月
128,340863639,94,690167521,2020/12/15,2020/12/23,1468,,5,StatTrak,25,56,,24,28,31,-79.98843731,40.39126208,Carrick,4,29,42003290400,3,29,3,23-4月
129,345918218,195,,,,,,,,,,,,,,-79.97741025,40.40932007,St. Clair,3,16,42003561700,3,16,3,8-4月
130,348266598,183,793526528,2019/9/9,2019/9/17,3302,,13,StatTrak,25,,35,97,40,43,-80.01384775,40.48801855,Perry North,1,26,42003260200,1,26,1,15-1月
131,358321678,21,236359592,2018/9/21,2018/10/17,,,,,,,,,,,-80.00995024,40.44562784,North Shore,1,22,42003981200,6,22,1,7-1月
132,364823086,6,109955947,2018/10/17,2018/11/8,,102,,Tube,,,,,,,-79.9519779,40.44357372,North Oakland,8,4,42003982200,3,4,4,8-2月
133,370215367,178,305312914,2019/8/30,2019/9/9,483,,13,StatTrak,25,,26,51,33,37,-79.92909548,40.47153004,East Liberty,7,11,42003111300,2,11,5,8-3月
134,37342806,141,,,,,,,,,,,,,,-79.977251,40.45822535,Strip District,7,6,42003020300,6,6,2,25-2月
135,382839437,59,334434337,2019/5/1,2019/5/7,3827,,,StatTrak,25,,28,69,33,37,-79.91227235,40.46057165,Larimer,9,12,42003120800,2,12,5,12-3月
136,41516750,161,,,,,,,,,,,,,,-79.945821,40.447503,Shadyside,8,7,42003070900,2,7,4,9-2月
137,424435594,123,944115427,2019/5/20,,,,,Intersection Study,,,,,,,-79.97623766,40.45752252,Strip District,7,6,42003020300,6,6,2,2-3月
138,428229895,25,845788920,2018/11/8,2018/11/14,382,,,StatTrak,25,43,16,0,20,24,-79.960275,40.43979142,Central Oakland,6,4,42003040500,3,4,4,14-2月
139,435095238,102,,,,,,,,,,,,,,-79.92710128,40.42447666,Greenfield,5,15,42003151700,3,15,4,15-2月
140,454488789,199,632149062,2019/11/4,2019/11/13,9600,,4,StatTrak,35,,33,32,38,41,-80.05070591,40.43335152,Westwood,2,28,42003563100,5,28,6,18-1月
141,462461649,78,374364494,2019/3/22,2019/3/29,2386,,4,StatTrak,25,,27,65,32,36,-80.00926886,40.45110551,Allegheny Center,1,22,42003562700,1,22,1,7-1月
142,495567113,105,1458021409,2019/6/13,2019/6/20,1270,,,StatTrak,25,,21,15,25,,-79.93721678,40.45957376,Bloomfield,7,8,42003080600,2,8,5,23-3月
143,503144889,174,12984207,2019/8/9,2019/8/19,3427,,1,StatTrak,25,,35,97,40,43,-80.04435805,40.44894144,Elliott,2,20,42003562600,5,20,6,17-1月
144,511073981,207,871644629,2019/11/14,2019/12/4,155,,6,StatTrak,25,,21,21,27,31,-79.91919042,40.47070028,Highland Park,7,11,42003110600,2,11,5,9-3月
145,534535231,4,457410812,2018/10/17,2018/10/29,7619,,,StatTrak,25,71,32,94,34,36,-80.0140905,40.42962,Mount Washington,2,19,42003191400,5,19,3,1-4月
146,552155483,79,1302989701,2019/3/22,2019/4/29,1924,,5,StatTrak,25,,24,38,29,32,-79.99704872,40.45771003,East Allegheny,1,23,42003563200,1,23,1,5-1月
147,558341587,56,1046267212,2019/1/14,2019/1/22,936,,16,StatTrak,25,,22,24,27,32,-79.96103086,40.47503836,Central Lawrenceville,7,9,42003090100,2,9,2,3-3月
148,559773473,41,726411339,2017/11/20,,,,,Intersection Study,,,,,,,-79.9528885,40.4636283,Bloomfield,7,9,42003090300,2,9,5,6-3月
149,562963377,177,995469639,2019/8/30,2019/10/9,541,,11,StatTrak,25,,24,38,29,33,-79.91768838,40.43915109,Squirrel Hill North,5,14,42003140300,3,14,4,18-2月
150,563226335,2,70105834,2019/9/24,2019/10/8,867,,5,StatTrak,25,,19,8,24,27,-79.947801,40.464072,Bloomfield,7,8,42003080900,2,8,5,6-3月
151,583558220,213,1610564825,2019/6/11,2019/6/11,,1278,Tuesday SPC video data,,,,,,,,-79.95684514,40.42929208,South Oakland,3,4,42003980800,3,4,4,12-2月
152,589731012,198,211963031,2019/11/4,2019/11/13,5800,,5,StatTrak,35,,40,87,45,48,-80.04611129,40.43825783,Westwood,2,28,42003562600,5,28,6,17-1月
153,594098653,187,1074954009,2019/9/24,2019/10/8,719,,3,StatTrak,25,,21,11,25,27,-79.92598252,40.42405251,Squirrel Hill South,5,14,42003141400,3,14,4,15-2月
154,596116859,70,1435552894,2019/2/14,2019/2/22,5859,,4,StatTrak,25,,30,83,35,38,-79.94271741,40.44877794,Shadyside,8,7,42003070900,2,7,4,22-3月
155,597499467,163,,,,,,,,,,,,,,-79.9834994,40.45328303,Strip District,7,2,42003020300,6,2,2,25-2月
156,607205051,129,1884276852,2019/7/1,,,,,Intersection Study,,,,,,,-79.97101147,40.46110505,Strip District,7,6,42003020300,6,6,2,2-3月
157,609406388,204,424741047,2019/11/14,2019/11/22,1390,,2,StatTrak,25,,21,8,24,27,-79.92797767,40.44542381,Squirrel Hill North,8,14,42003140200,3,14,4,17-2月
158,610049666,126,687814145,2019/5/9,,,,,Intersection Study,,,,,,,-80.0239777,40.4505028,Chateau,6,21,42003980600,1,21,1,8-1月
159,615223154,175,1247630628,2019/8/9,2019/8/19,131,,4,StatTrak,25,,22,29,29,33,-80.07365573,40.45640109,Windgap,2,28,42003563000,5,28,6,16-1月
