geo_id_tract,numsales,year,numparcels,parcels-sales
42003010300,10,2012,234,23.4
42003020100,0,2012,3,
42003020300,1,2012,53,53.0
42003030500,4,2012,397,99.3
42003040200,11,2012,357,32.5
42003040400,1,2012,21,21.0
42003040500,6,2012,320,53.3
42003040600,2,2012,244,122.0
42003040900,35,2012,808,23.1
42003050100,13,2012,531,40.8
42003050600,13,2012,814,62.6
42003050900,1,2012,90,90.0
42003051000,3,2012,84,28.0
42003060300,54,2012,813,15.1
42003060500,14,2012,432,30.9
42003070300,20,2012,383,19.2
42003070500,22,2012,385,17.5
42003070600,13,2012,208,16.0
42003070800,8,2012,223,27.9
42003070900,29,2012,486,16.8
42003080200,30,2012,661,22.0
42003080400,17,2012,308,18.1
42003080600,14,2012,384,27.4
42003080700,4,2012,149,37.3
42003080900,18,2012,395,21.9
42003090100,52,2012,804,15.5
42003090200,47,2012,988,21.0
42003090300,27,2012,582,21.6
42003100500,25,2012,819,32.8
42003101100,48,2012,1030,21.5
42003101400,45,2012,1249,27.8
42003101600,4,2012,182,45.5
42003101700,14,2012,638,45.6
42003101800,36,2012,1212,33.7
42003110200,40,2012,928,23.2
42003110600,33,2012,880,26.7
42003111300,21,2012,478,22.8
42003111400,16,2012,360,22.5
42003111500,5,2012,294,58.8
42003120300,12,2012,640,53.3
42003120400,4,2012,257,64.3
42003120700,5,2012,243,48.6
42003120800,0,2012,238,
42003130100,13,2012,616,47.4
42003130200,6,2012,520,86.7
42003130300,5,2012,373,74.6
42003130400,2,2012,348,174.0
42003130600,19,2012,939,49.4
42003140100,29,2012,855,29.5
42003140200,18,2012,427,23.7
42003140300,45,2012,942,20.9
42003140400,33,2012,876,26.5
42003140500,18,2012,450,25.0
42003140600,45,2012,1048,23.3
42003140800,45,2012,1165,25.9
42003141000,13,2012,349,26.8
42003141100,23,2012,606,26.3
42003141300,55,2012,865,15.7
42003141400,78,2012,1561,20.0
42003151600,30,2012,1022,34.1
42003151700,81,2012,1936,23.9
42003160800,51,2012,1191,23.4
42003160900,22,2012,638,29.0
42003170200,88,2012,1408,16.0
42003170600,37,2012,782,21.1
42003180300,19,2012,954,50.2
42003180700,34,2012,820,24.1
42003190300,24,2012,672,28.0
42003191100,38,2012,981,25.8
42003191400,33,2012,991,30.0
42003191500,27,2012,811,30.0
42003191600,43,2012,1685,39.2
42003191700,39,2012,1428,36.6
42003191800,78,2012,2160,27.7
42003191900,36,2012,858,23.8
42003192000,45,2012,1418,31.5
42003202200,34,2012,895,26.3
42003202300,32,2012,1200,37.5
42003210700,29,2012,757,26.1
42003220600,29,2012,514,17.7
42003240600,52,2012,954,18.3
42003241200,6,2012,415,69.2
42003250300,37,2012,508,13.7
42003250700,4,2012,254,63.5
42003250900,10,2012,419,41.9
42003260200,31,2012,855,27.6
42003260700,19,2012,632,33.3
42003260900,1,2012,26,26.0
42003261200,11,2012,470,42.7
42003261400,33,2012,903,27.4
42003261500,17,2012,567,33.4
42003262000,22,2012,912,41.5
42003270100,40,2012,955,23.9
42003270300,21,2012,632,30.1
42003270400,23,2012,456,19.8
42003270800,38,2012,1107,29.1
42003271500,48,2012,1370,28.5
42003281400,17,2012,728,42.8
42003281500,24,2012,629,26.2
42003290100,26,2012,798,30.7
42003290200,54,2012,1408,26.1
42003290400,50,2012,1510,30.2
42003300100,61,2012,1350,22.1
42003310200,38,2012,1476,38.8
42003310300,8,2012,422,52.8
42003320400,28,2012,819,29.3
42003320600,25,2012,974,39.0
42003320700,17,2012,729,42.9
42003401100,67,2012,1831,27.3
42003401200,36,2012,1054,29.3
42003401300,48,2012,1175,24.5
42003402000,36,2012,1209,33.6
42003403500,35,2012,1474,42.1
42003404000,20,2012,644,32.2
42003405000,7,2012,457,65.3
42003406000,12,2012,878,73.2
42003407001,60,2012,1822,30.4
42003407002,81,2012,2532,31.3
42003408001,137,2012,1811,13.2
42003408002,88,2012,2171,24.7
42003409000,341,2012,4219,12.4
42003410000,26,2012,487,18.7
42003411000,149,2012,2808,18.8
42003412001,132,2012,2917,22.1
42003412002,113,2012,1841,16.3
42003413100,72,2012,1828,25.4
42003413201,51,2012,1281,25.1
42003413202,35,2012,950,27.1
42003413300,61,2012,1721,28.2
42003413400,62,2012,1600,25.8
42003413500,43,2012,1588,36.9
42003414101,71,2012,1923,27.1
42003414102,93,2012,2299,24.7
42003414200,73,2012,2109,28.9
42003415001,68,2012,1513,22.3
42003415002,34,2012,951,28.0
42003416000,9,2012,592,65.8
42003417100,20,2012,871,43.6
42003417200,10,2012,415,41.5
42003418000,20,2012,777,38.9
42003419000,39,2012,1121,28.7
42003420000,23,2012,492,21.4
42003421100,67,2012,1512,22.6
42003421200,56,2012,1687,30.1
42003422000,93,2012,1908,20.5
42003423000,31,2012,857,27.6
42003424000,25,2012,1025,41.0
42003425000,53,2012,1226,23.1
42003426300,78,2012,2458,31.5
42003426400,51,2012,1783,35.0
42003426700,24,2012,841,35.0
42003426800,72,2012,2095,29.1
42003427000,44,2012,1266,28.8
42003427100,56,2012,2238,40.0
42003427200,55,2012,1885,34.3
42003428100,18,2012,510,28.3
42003428200,33,2012,920,27.9
42003429100,25,2012,867,34.7
42003429201,49,2012,1347,27.5
42003429202,49,2012,1529,31.2
42003429300,66,2012,2061,31.2
42003429400,62,2012,1794,28.9
42003429500,30,2012,862,28.7
42003429600,42,2012,1124,26.8
42003429700,28,2012,1026,36.6
42003430100,41,2012,775,18.9
42003430200,59,2012,1554,26.3
42003431100,29,2012,805,27.8
42003431400,22,2012,562,25.5
42003431500,30,2012,678,22.6
42003432300,17,2012,558,32.8
42003432400,31,2012,752,24.3
42003434000,26,2012,650,25.0
42003435000,18,2012,799,44.4
42003437000,182,2012,2117,11.6
42003439000,18,2012,552,30.7
42003445500,56,2012,1126,20.1
42003446000,38,2012,621,16.3
42003447000,19,2012,589,31.0
42003448000,10,2012,490,49.0
42003449000,23,2012,900,39.1
42003450700,40,2012,1090,27.3
42003450800,26,2012,877,33.7
42003451101,43,2012,1194,27.8
42003451102,47,2012,1277,27.2
42003451104,81,2012,1343,16.6
42003451105,74,2012,988,13.4
42003451300,169,2012,2821,16.7
42003452000,85,2012,2196,25.8
42003453003,17,2012,627,36.9
42003453004,78,2012,1890,24.2
42003455000,23,2012,578,25.1
42003456001,74,2012,1488,20.1
42003456003,183,2012,2776,15.2
42003456004,66,2012,1379,20.9
42003457100,10,2012,459,45.9
42003457200,47,2012,1338,28.5
42003458000,174,2012,2962,17.0
42003459101,13,2012,618,47.5
42003459102,83,2012,2016,24.3
42003459201,54,2012,1628,30.1
42003460001,104,2012,1723,16.6
42003460002,25,2012,1359,54.4
42003461000,13,2012,373,28.7
42003462100,32,2012,1015,31.7
42003462600,44,2012,1428,32.5
42003463900,39,2012,990,25.4
42003464300,36,2012,1155,32.1
42003464400,34,2012,946,27.8
42003465600,18,2012,629,34.9
42003465800,58,2012,1175,20.3
42003468700,20,2012,658,32.9
42003468800,46,2012,968,21.0
42003468900,33,2012,1104,33.5
42003469000,66,2012,1925,29.2
42003470300,56,2012,1312,23.4
42003470400,47,2012,1290,27.4
42003470501,19,2012,408,21.5
42003470502,33,2012,1037,31.4
42003470600,21,2012,954,45.4
42003471000,20,2012,520,26.0
42003472100,27,2012,768,28.4
42003472200,42,2012,715,17.0
42003472300,29,2012,627,21.6
42003472400,23,2012,742,32.3
42003473100,64,2012,1491,23.3
42003473200,44,2012,763,17.3
42003473300,87,2012,1955,22.5
42003473401,52,2012,1037,19.9
42003473402,61,2012,1094,17.9
42003473500,61,2012,1269,20.8
42003473601,67,2012,1329,19.8
42003473602,71,2012,1502,21.2
42003474101,46,2012,1375,29.9
42003474102,58,2012,1339,23.1
42003474201,37,2012,845,22.8
42003474202,91,2012,1619,17.8
42003474203,79,2012,1664,21.1
42003475101,58,2012,1347,23.2
42003475102,20,2012,677,33.9
42003475200,66,2012,1958,29.7
42003475301,62,2012,1518,24.5
42003475303,60,2012,1549,25.8
42003475304,41,2012,1599,39.0
42003475401,45,2012,1465,32.6
42003475402,32,2012,1084,33.9
42003476100,46,2012,1321,28.7
42003476200,40,2012,1280,32.0
42003477100,72,2012,1679,23.3
42003477200,63,2012,1621,25.7
42003477300,78,2012,1853,23.8
42003478100,47,2012,1358,28.9
42003478200,65,2012,2044,31.4
42003479000,27,2012,893,33.1
42003480101,30,2012,1120,37.3
42003480102,46,2012,1241,27.0
42003480200,40,2012,1338,33.5
42003480300,50,2012,1395,27.9
42003480400,59,2012,2071,35.1
42003481000,54,2012,1135,21.0
42003482500,28,2012,840,30.0
42003483800,31,2012,943,30.4
42003484300,58,2012,1291,22.3
42003484500,51,2012,2106,41.3
42003484600,30,2012,794,26.5
42003485000,8,2012,533,66.6
42003486700,21,2012,626,29.8
42003486800,31,2012,722,23.3
42003486900,17,2012,686,40.4
42003487000,26,2012,596,22.9
42003488100,25,2012,978,39.1
42003488200,24,2012,1237,51.5
42003488300,21,2012,804,38.3
42003488400,57,2012,1682,29.5
42003488500,23,2012,1050,45.7
42003488600,58,2012,1932,33.3
42003489001,54,2012,1567,29.0
42003489002,50,2012,1383,27.7
42003490002,52,2012,1622,31.2
42003490003,56,2012,1326,23.7
42003490004,46,2012,1711,37.2
42003491101,102,2012,2282,22.4
42003491200,19,2012,698,36.7
42003492700,17,2012,938,55.2
42003492800,25,2012,1138,45.5
42003492900,48,2012,1195,24.9
42003494000,15,2012,513,34.2
42003495000,16,2012,1124,70.3
42003496101,43,2012,1262,29.3
42003496102,38,2012,1780,46.8
42003496200,58,2012,2132,36.8
42003497000,9,2012,424,47.1
42003498000,30,2012,1077,35.9
42003499300,24,2012,709,29.5
42003499400,30,2012,1024,34.1
42003500300,46,2012,1655,36.0
42003501000,20,2012,534,26.7
42003503002,79,2012,2361,29.9
42003504100,47,2012,1808,38.5
42003507000,25,2012,816,32.6
42003508000,21,2012,605,28.8
42003509400,61,2012,1445,23.7
42003510000,21,2012,514,24.5
42003512000,37,2012,824,22.3
42003512800,11,2012,614,55.8
42003512900,12,2012,557,46.4
42003513800,15,2012,685,45.7
42003514000,21,2012,510,24.3
42003515100,29,2012,929,32.0
42003515200,31,2012,618,19.9
42003515300,18,2012,584,32.4
42003515401,36,2012,859,23.9
42003516100,28,2012,556,19.9
42003516200,38,2012,609,16.0
42003517000,15,2012,642,42.8
42003518001,61,2012,1449,23.8
42003519000,51,2012,1474,28.9
42003520001,31,2012,1251,40.4
42003520002,34,2012,1237,36.4
42003521100,46,2012,1862,40.5
42003521200,46,2012,1302,28.3
42003521301,36,2012,1012,28.1
42003521302,33,2012,1117,33.8
42003521401,29,2012,945,32.6
42003521402,46,2012,1562,34.0
42003521500,46,2012,1542,33.5
42003522000,27,2012,1020,37.8
42003523100,36,2012,1871,52.0
42003523200,54,2012,1657,30.7
42003523300,57,2012,1694,29.7
42003523400,71,2012,2017,28.4
42003523501,77,2012,1885,24.5
42003523502,31,2012,639,20.6
42003523600,62,2012,1893,30.5
42003523701,45,2012,1728,38.4
42003523702,58,2012,1821,31.4
42003523800,70,2012,2002,28.6
42003524000,31,2012,795,25.6
42003525100,37,2012,826,22.3
42003525200,41,2012,579,14.1
42003525300,24,2012,744,31.0
42003526101,100,2012,2441,24.4
42003526102,24,2012,773,32.2
42003526201,46,2012,1403,30.5
42003526202,45,2012,1655,36.8
42003526301,39,2012,1517,38.9
42003526302,53,2012,1461,27.6
42003550900,11,2012,632,57.5
42003551200,40,2012,1080,27.0
42003551300,31,2012,1111,35.8
42003551900,9,2012,265,29.4
42003552000,33,2012,1040,31.5
42003552100,3,2012,170,56.7
42003552200,15,2012,464,30.9
42003552300,34,2012,1056,31.1
42003552400,37,2012,1292,34.9
42003560400,4,2012,181,45.3
42003560500,32,2012,603,18.8
42003560600,14,2012,248,17.7
42003561000,11,2012,480,43.6
42003561100,10,2012,403,40.3
42003561200,6,2012,389,64.8
42003561400,35,2012,1382,39.5
42003561500,18,2012,959,53.3
42003561600,30,2012,756,25.2
42003561700,13,2012,296,22.8
42003561900,16,2012,791,49.4
42003562000,4,2012,164,41.0
42003562300,30,2012,1106,36.9
42003562400,31,2012,1257,40.5
42003562500,43,2012,1067,24.8
42003562600,30,2012,1057,35.2
42003562700,5,2012,98,19.6
42003562800,12,2012,501,41.8
42003562900,22,2012,849,38.6
42003563000,20,2012,935,46.8
42003563100,51,2012,1413,27.7
42003563200,41,2012,670,16.3
42003563300,41,2012,548,13.4
42003563800,54,2012,1332,24.7
42003563900,54,2012,1661,30.8
42003564000,137,2012,1982,14.5
42003564100,13,2012,371,28.5
42003564200,6,2012,817,136.2
42003564400,56,2012,2369,42.3
42003564500,32,2012,1205,37.7
42003980500,0,2012,13,
42003981800,0,2012,17,
42007604800,0,2012,,
42125746100,0,2012,,
42125746302,0,2012,,
42125771100,0,2012,,
42125771200,0,2012,,
42129802101,0,2012,,
42003010300,7,2013,234,33.4
42003020100,0,2013,3,
42003020300,0,2013,53,
42003030500,7,2013,397,56.7
42003040200,10,2013,357,35.7
42003040400,2,2013,21,10.5
42003040500,5,2013,320,64.0
42003040600,4,2013,244,61.0
42003040900,28,2013,808,28.9
42003050100,16,2013,531,33.2
42003050600,23,2013,814,35.4
42003050900,1,2013,90,90.0
42003051000,2,2013,84,42.0
42003060300,58,2013,813,14.0
42003060500,15,2013,432,28.8
42003070300,24,2013,383,16.0
42003070500,22,2013,385,17.5
42003070600,13,2013,208,16.0
42003070800,15,2013,223,14.9
42003070900,23,2013,486,21.1
42003080200,35,2013,661,18.9
42003080400,13,2013,308,23.7
42003080600,19,2013,384,20.2
42003080700,6,2013,149,24.8
42003080900,18,2013,395,21.9
42003090100,67,2013,804,12.0
42003090200,54,2013,988,18.3
42003090300,30,2013,582,19.4
42003100500,35,2013,819,23.4
42003101100,51,2013,1030,20.2
42003101400,55,2013,1249,22.7
42003101600,5,2013,182,36.4
42003101700,11,2013,638,58.0
42003101800,35,2013,1212,34.6
42003110200,40,2013,928,23.2
42003110600,41,2013,880,21.5
42003111300,30,2013,478,15.9
42003111400,11,2013,360,32.7
42003111500,8,2013,294,36.8
42003120300,10,2013,640,64.0
42003120400,6,2013,257,42.8
42003120700,1,2013,243,243.0
42003120800,4,2013,238,59.5
42003130100,8,2013,616,77.0
42003130200,11,2013,520,47.3
42003130300,5,2013,373,74.6
42003130400,6,2013,348,58.0
42003130600,12,2013,939,78.3
42003140100,39,2013,855,21.9
42003140200,15,2013,427,28.5
42003140300,42,2013,942,22.4
42003140400,40,2013,876,21.9
42003140500,8,2013,450,56.3
42003140600,44,2013,1048,23.8
42003140800,56,2013,1165,20.8
42003141000,18,2013,349,19.4
42003141100,20,2013,606,30.3
42003141300,40,2013,865,21.6
42003141400,99,2013,1561,15.8
42003151600,40,2013,1022,25.6
42003151700,73,2013,1936,26.5
42003160800,36,2013,1191,33.1
42003160900,26,2013,638,24.5
42003170200,83,2013,1408,17.0
42003170600,37,2013,782,21.1
42003180300,37,2013,954,25.8
42003180700,40,2013,820,20.5
42003190300,31,2013,672,21.7
42003191100,49,2013,981,20.0
42003191400,46,2013,991,21.5
42003191500,36,2013,811,22.5
42003191600,51,2013,1685,33.0
42003191700,58,2013,1428,24.6
42003191800,82,2013,2160,26.3
42003191900,32,2013,858,26.8
42003192000,56,2013,1418,25.3
42003202200,33,2013,895,27.1
42003202300,35,2013,1200,34.3
42003210700,28,2013,757,27.0
42003220600,31,2013,514,16.6
42003240600,51,2013,954,18.7
42003241200,14,2013,415,29.6
42003250300,27,2013,508,18.8
42003250700,8,2013,254,31.8
42003250900,10,2013,419,41.9
42003260200,49,2013,855,17.4
42003260700,26,2013,632,24.3
42003260900,0,2013,26,
42003261200,14,2013,470,33.6
42003261400,24,2013,903,37.6
42003261500,10,2013,567,56.7
42003262000,29,2013,912,31.4
42003270100,53,2013,955,18.0
42003270300,33,2013,632,19.2
42003270400,26,2013,456,17.5
42003270800,36,2013,1107,30.8
42003271500,50,2013,1370,27.4
42003281400,20,2013,728,36.4
42003281500,22,2013,629,28.6
42003290100,34,2013,798,23.5
42003290200,62,2013,1408,22.7
42003290400,69,2013,1510,21.9
42003300100,50,2013,1350,27.0
42003310200,48,2013,1476,30.8
42003310300,12,2013,422,35.2
42003320400,24,2013,819,34.1
42003320600,50,2013,974,19.5
42003320700,25,2013,729,29.2
42003401100,73,2013,1831,25.1
42003401200,35,2013,1054,30.1
42003401300,41,2013,1175,28.7
42003402000,40,2013,1209,30.2
42003403500,42,2013,1474,35.1
42003404000,19,2013,644,33.9
42003405000,11,2013,457,41.5
42003406000,18,2013,878,48.8
42003407001,73,2013,1822,25.0
42003407002,75,2013,2532,33.8
42003408001,129,2013,1811,14.0
42003408002,100,2013,2171,21.7
42003409000,365,2013,4219,11.6
42003410000,24,2013,487,20.3
42003411000,163,2013,2808,17.2
42003412001,229,2013,2917,12.7
42003412002,58,2013,1841,31.7
42003413100,88,2013,1828,20.8
42003413201,48,2013,1281,26.7
42003413202,42,2013,950,22.6
42003413300,64,2013,1721,26.9
42003413400,79,2013,1600,20.3
42003413500,76,2013,1588,20.9
42003414101,72,2013,1923,26.7
42003414102,97,2013,2299,23.7
42003414200,77,2013,2109,27.4
42003415001,38,2013,1513,39.8
42003415002,31,2013,951,30.7
42003416000,19,2013,592,31.2
42003417100,32,2013,871,27.2
42003417200,12,2013,415,34.6
42003418000,25,2013,777,31.1
42003419000,39,2013,1121,28.7
42003420000,21,2013,492,23.4
42003421100,80,2013,1512,18.9
42003421200,48,2013,1687,35.1
42003422000,91,2013,1908,21.0
42003423000,61,2013,857,14.0
42003424000,36,2013,1025,28.5
42003425000,39,2013,1226,31.4
42003426300,77,2013,2458,31.9
42003426400,59,2013,1783,30.2
42003426700,28,2013,841,30.0
42003426800,79,2013,2095,26.5
42003427000,50,2013,1266,25.3
42003427100,96,2013,2238,23.3
42003427200,55,2013,1885,34.3
42003428100,20,2013,510,25.5
42003428200,23,2013,920,40.0
42003429100,30,2013,867,28.9
42003429201,51,2013,1347,26.4
42003429202,58,2013,1529,26.4
42003429300,69,2013,2061,29.9
42003429400,71,2013,1794,25.3
42003429500,26,2013,862,33.2
42003429600,58,2013,1124,19.4
42003429700,55,2013,1026,18.7
42003430100,42,2013,775,18.5
42003430200,68,2013,1554,22.9
42003431100,44,2013,805,18.3
42003431400,21,2013,562,26.8
42003431500,38,2013,678,17.8
42003432300,23,2013,558,24.3
42003432400,38,2013,752,19.8
42003434000,28,2013,650,23.2
42003435000,41,2013,799,19.5
42003437000,113,2013,2117,18.7
42003439000,23,2013,552,24.0
42003445500,70,2013,1126,16.1
42003446000,37,2013,621,16.8
42003447000,20,2013,589,29.5
42003448000,16,2013,490,30.6
42003449000,32,2013,900,28.1
42003450700,46,2013,1090,23.7
42003450800,40,2013,877,21.9
42003451101,53,2013,1194,22.5
42003451102,61,2013,1277,20.9
42003451104,124,2013,1343,10.8
42003451105,62,2013,988,15.9
42003451300,169,2013,2821,16.7
42003452000,84,2013,2196,26.1
42003453003,15,2013,627,41.8
42003453004,119,2013,1890,15.9
42003455000,22,2013,578,26.3
42003456001,111,2013,1488,13.4
42003456003,172,2013,2776,16.1
42003456004,77,2013,1379,17.9
42003457100,16,2013,459,28.7
42003457200,57,2013,1338,23.5
42003458000,169,2013,2962,17.5
42003459101,17,2013,618,36.4
42003459102,123,2013,2016,16.4
42003459201,75,2013,1628,21.7
42003460001,115,2013,1723,15.0
42003460002,44,2013,1359,30.9
42003461000,8,2013,373,46.6
42003462100,20,2013,1015,50.8
42003462600,70,2013,1428,20.4
42003463900,42,2013,990,23.6
42003464300,56,2013,1155,20.6
42003464400,33,2013,946,28.7
42003465600,28,2013,629,22.5
42003465800,49,2013,1175,24.0
42003468700,25,2013,658,26.3
42003468800,49,2013,968,19.8
42003468900,48,2013,1104,23.0
42003469000,72,2013,1925,26.7
42003470300,62,2013,1312,21.2
42003470400,54,2013,1290,23.9
42003470501,14,2013,408,29.1
42003470502,57,2013,1037,18.2
42003470600,36,2013,954,26.5
42003471000,16,2013,520,32.5
42003472100,41,2013,768,18.7
42003472200,34,2013,715,21.0
42003472300,22,2013,627,28.5
42003472400,43,2013,742,17.3
42003473100,80,2013,1491,18.6
42003473200,38,2013,763,20.1
42003473300,99,2013,1955,19.7
42003473401,51,2013,1037,20.3
42003473402,54,2013,1094,20.3
42003473500,70,2013,1269,18.1
42003473601,71,2013,1329,18.7
42003473602,58,2013,1502,25.9
42003474101,69,2013,1375,19.9
42003474102,63,2013,1339,21.3
42003474201,43,2013,845,19.7
42003474202,74,2013,1619,21.9
42003474203,74,2013,1664,22.5
42003475101,59,2013,1347,22.8
42003475102,26,2013,677,26.0
42003475200,73,2013,1958,26.8
42003475301,49,2013,1518,31.0
42003475303,67,2013,1549,23.1
42003475304,68,2013,1599,23.5
42003475401,49,2013,1465,29.9
42003475402,33,2013,1084,32.8
42003476100,50,2013,1321,26.4
42003476200,37,2013,1280,34.6
42003477100,99,2013,1679,17.0
42003477200,65,2013,1621,24.9
42003477300,84,2013,1853,22.1
42003478100,60,2013,1358,22.6
42003478200,82,2013,2044,24.9
42003479000,30,2013,893,29.8
42003480101,40,2013,1120,28.0
42003480102,38,2013,1241,32.7
42003480200,56,2013,1338,23.9
42003480300,46,2013,1395,30.3
42003480400,64,2013,2071,32.4
42003481000,49,2013,1135,23.2
42003482500,19,2013,840,44.2
42003483800,26,2013,943,36.3
42003484300,56,2013,1291,23.1
42003484500,62,2013,2106,34.0
42003484600,28,2013,794,28.4
42003485000,11,2013,533,48.5
42003486700,23,2013,626,27.2
42003486800,22,2013,722,32.8
42003486900,29,2013,686,23.7
42003487000,20,2013,596,29.8
42003488100,28,2013,978,34.9
42003488200,25,2013,1237,49.5
42003488300,11,2013,804,73.1
42003488400,62,2013,1682,27.1
42003488500,35,2013,1050,30.0
42003488600,63,2013,1932,30.7
42003489001,65,2013,1567,24.1
42003489002,55,2013,1383,25.1
42003490002,54,2013,1622,30.0
42003490003,54,2013,1326,24.6
42003490004,46,2013,1711,37.2
42003491101,114,2013,2282,20.0
42003491200,20,2013,698,34.9
42003492700,15,2013,938,62.5
42003492800,30,2013,1138,37.9
42003492900,34,2013,1195,35.1
42003494000,7,2013,513,73.3
42003495000,22,2013,1124,51.1
42003496101,47,2013,1262,26.9
42003496102,35,2013,1780,50.9
42003496200,67,2013,2132,31.8
42003497000,4,2013,424,106.0
42003498000,37,2013,1077,29.1
42003499300,12,2013,709,59.1
42003499400,42,2013,1024,24.4
42003500300,48,2013,1655,34.5
42003501000,11,2013,534,48.5
42003503002,72,2013,2361,32.8
42003504100,50,2013,1808,36.2
42003507000,40,2013,816,20.4
42003508000,25,2013,605,24.2
42003509400,71,2013,1445,20.4
42003510000,33,2013,514,15.6
42003512000,29,2013,824,28.4
42003512800,19,2013,614,32.3
42003512900,16,2013,557,34.8
42003513800,12,2013,685,57.1
42003514000,18,2013,510,28.3
42003515100,38,2013,929,24.4
42003515200,34,2013,618,18.2
42003515300,32,2013,584,18.3
42003515401,39,2013,859,22.0
42003516100,44,2013,556,12.6
42003516200,31,2013,609,19.6
42003517000,17,2013,642,37.8
42003518001,63,2013,1449,23.0
42003519000,66,2013,1474,22.3
42003520001,30,2013,1251,41.7
42003520002,56,2013,1237,22.1
42003521100,59,2013,1862,31.6
42003521200,52,2013,1302,25.0
42003521301,26,2013,1012,38.9
42003521302,39,2013,1117,28.6
42003521401,35,2013,945,27.0
42003521402,53,2013,1562,29.5
42003521500,37,2013,1542,41.7
42003522000,33,2013,1020,30.9
42003523100,45,2013,1871,41.6
42003523200,61,2013,1657,27.2
42003523300,69,2013,1694,24.6
42003523400,76,2013,2017,26.5
42003523501,78,2013,1885,24.2
42003523502,16,2013,639,39.9
42003523600,61,2013,1893,31.0
42003523701,47,2013,1728,36.8
42003523702,78,2013,1821,23.3
42003523800,78,2013,2002,25.7
42003524000,29,2013,795,27.4
42003525100,36,2013,826,22.9
42003525200,57,2013,579,10.2
42003525300,34,2013,744,21.9
42003526101,136,2013,2441,17.9
42003526102,22,2013,773,35.1
42003526201,45,2013,1403,31.2
42003526202,47,2013,1655,35.2
42003526301,50,2013,1517,30.3
42003526302,51,2013,1461,28.6
42003550900,24,2013,632,26.3
42003551200,46,2013,1080,23.5
42003551300,36,2013,1111,30.9
42003551900,0,2013,265,
42003552000,38,2013,1040,27.4
42003552100,0,2013,170,
42003552200,16,2013,464,29.0
42003552300,23,2013,1056,45.9
42003552400,42,2013,1292,30.8
42003560400,7,2013,181,25.9
42003560500,37,2013,603,16.3
42003560600,2,2013,248,124.0
42003561000,14,2013,480,34.3
42003561100,6,2013,403,67.2
42003561200,10,2013,389,38.9
42003561400,44,2013,1382,31.4
42003561500,20,2013,959,48.0
42003561600,29,2013,756,26.1
42003561700,9,2013,296,32.9
42003561900,16,2013,791,49.4
42003562000,5,2013,164,32.8
42003562300,31,2013,1106,35.7
42003562400,33,2013,1257,38.1
42003562500,45,2013,1067,23.7
42003562600,33,2013,1057,32.0
42003562700,2,2013,98,49.0
42003562800,12,2013,501,41.8
42003562900,20,2013,849,42.5
42003563000,18,2013,935,51.9
42003563100,49,2013,1413,28.8
42003563200,31,2013,670,21.6
42003563300,28,2013,548,19.6
42003563800,74,2013,1332,18.0
42003563900,46,2013,1661,36.1
42003564000,127,2013,1982,15.6
42003564100,7,2013,371,53.0
42003564200,18,2013,817,45.4
42003564400,71,2013,2369,33.4
42003564500,32,2013,1205,37.7
42003980500,1,2013,13,13.0
42003981800,0,2013,17,
42007604800,0,2013,,
42125746100,0,2013,,
42125746302,2,2013,,0.0
42125771100,1,2013,,0.0
42125771200,0,2013,,
42129802101,1,2013,,0.0
42003010300,13,2014,234,18.0
42003020100,0,2014,3,
42003020300,5,2014,53,10.6
42003030500,2,2014,397,198.5
42003040200,7,2014,357,51.0
42003040400,4,2014,21,5.3
42003040500,3,2014,320,106.7
42003040600,4,2014,244,61.0
42003040900,29,2014,808,27.9
42003050100,3,2014,531,177.0
42003050600,12,2014,814,67.8
42003050900,1,2014,90,90.0
42003051000,4,2014,84,21.0
42003060300,43,2014,813,18.9
42003060500,10,2014,432,43.2
42003070300,16,2014,383,23.9
42003070500,13,2014,385,29.6
42003070600,8,2014,208,26.0
42003070800,13,2014,223,17.2
42003070900,17,2014,486,28.6
42003080200,20,2014,661,33.1
42003080400,13,2014,308,23.7
42003080600,15,2014,384,25.6
42003080700,5,2014,149,29.8
42003080900,16,2014,395,24.7
42003090100,63,2014,804,12.8
42003090200,29,2014,988,34.1
42003090300,12,2014,582,48.5
42003100500,22,2014,819,37.2
42003101100,62,2014,1030,16.6
42003101400,49,2014,1249,25.5
42003101600,7,2014,182,26.0
42003101700,29,2014,638,22.0
42003101800,36,2014,1212,33.7
42003110200,56,2014,928,16.6
42003110600,40,2014,880,22.0
42003111300,27,2014,478,17.7
42003111400,8,2014,360,45.0
42003111500,7,2014,294,42.0
42003120300,18,2014,640,35.6
42003120400,0,2014,257,
42003120700,6,2014,243,40.5
42003120800,4,2014,238,59.5
42003130100,10,2014,616,61.6
42003130200,5,2014,520,104.0
42003130300,5,2014,373,74.6
42003130400,3,2014,348,116.0
42003130600,9,2014,939,104.3
42003140100,38,2014,855,22.5
42003140200,12,2014,427,35.6
42003140300,37,2014,942,25.5
42003140400,19,2014,876,46.1
42003140500,10,2014,450,45.0
42003140600,36,2014,1048,29.1
42003140800,34,2014,1165,34.3
42003141000,24,2014,349,14.5
42003141100,24,2014,606,25.3
42003141300,33,2014,865,26.2
42003141400,90,2014,1561,17.3
42003151600,35,2014,1022,29.2
42003151700,73,2014,1936,26.5
42003160800,59,2014,1191,20.2
42003160900,22,2014,638,29.0
42003170200,91,2014,1408,15.5
42003170600,19,2014,782,41.2
42003180300,22,2014,954,43.4
